"Company Name",ISIN,"Target Qualification",SME?,"Business ambitions 1.5",Country,Region,Sector,Status,Date,"Date Explanation",Target,"Target Classification"
"A1 Telekom Austria Group",AT0000720008,1.5°C,,,Austria,Europe,"Telecommunication Services","Targets Set","2020-09-01 00:00:00",,"A1 Telekom Austria Group commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year*. A1 Telekom Austria Group commits to reduce scope 3 GHG emissions covering purchased goods and services, capital goods and fuel- and energy-related activities as well as business travel 50% by 2030 from a 2019 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"A2A S.p.A.",IT0001233417,2°C,,,Italy,Europe,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)","Targets Set","2020-03-01 00:00:00",,"Italian multi-utility company A2A S.p.A commits to reduce scope 1 GHG emissions 46% per kWh by 2030 from a 2017 base year. A2A commits to reduce absolute scope 2 GHG emissions 100% by 2024 from a 2017 base year. A2A also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and use of sold products 20% by 2030 from a 2017 base year*. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Aardvark Certification Ltd",,"Well-below 2°C",1,,"United Kingdom (UK)",Europe,"Professional Services","Targets Set","2020-07-01 00:00:00",,"Aardvark Certification Ltd. commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"AB InBev",BE0974293251,1.5°C,,,Belgium,Europe,"Food and Beverage Processing","Targets Set","2018-03-01 00:00:00",,"Global Brewer AB InBev commits to reduce absolute scopes 1 and 2 GHG emissions 35% by 2025 from a 2017 base year. AB InBev commits to increase annual sourcing of renewable electricity from 7% in 2016 to 100% by 2025. AB InBev also commits to reduce emissions across the value chain (Scopes 1, 2 and 3) by 25% per beverage by 2025, from a 2017 base year. These commitments reinforce AB InBev's commitment towards mitigating the impacts of climate change.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C."
ABB,CH0012221716,1.5°C,,1,Switzerland,Europe,"Electrical Equipment and Machinery","Targets Set","2021-06-01 00:00:00",,"ABB commits to reduce absolute scope 1 and 2 GHG emissions 80% by 2030 from a 2019 base year.ABB also commits to reduce absolute scope 3 GHG emissions 15% over the same timeframe.**The target boundary includes biogenic emissions and removals from bioenergy feedstocks.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Abdi Ibrahim Pharmaceuticals",,,,,Turkey,Asia,"Pharmaceuticals, Biotechnology and Life",Committed,"2020-03-01 00:00:00",,,
"ABN Amro Bank N.V.",NL0011540547,,,,Netherlands,Europe,"Banks, Diverse Financials, Insurance",Committed,"2018-10-01 00:00:00",,,
"ABP Food Group",,2°C,,,Ireland,Europe,"Food and Beverage Processing","Targets Set","2019-12-01 00:00:00",,"Privately owned food processors ABP Food Group commits to reduce absolute scope 1 and 2 GHG emissions 27% by 2030 from a 2016 base year. ABP Food Group also commits to reduce absolute scope 3 GHG emissions from purchased goods and services (raw materials and packaging) 17% by 2030 from a 2016 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"ACC Limited",,"Well-below 2°C",,1,India,Asia,"Construction Materials","Targets Set","2021-08-01 00:00:00",,"ACC Limited commits to reduce scope 1 GHG emissions 21.3% per ton of cementitious material by 2030 from a 2018 base year*. ACC Limited also commits to reduce scope 2 GHG emissions 48.4% per ton of cementitious material within the same timeframe. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Accenture PLC",IE00B4BNMY34,1.5°C,,1,Ireland,Europe,"Professional Services","Targets Set","2018-12-01 00:00:00",,"Global management consulting and professional services firm Accenture commits to reduce absolute scope 1, 2 and 3 GHG emissions 11% by 2025 from a 2016 base-year. This target includes a 65% reduction in scope 1 and 2 emissions, and represents a 40% per unit of revenue intensity reduction for scope 1, 2 and 3 GHG emissions over the same time period.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
