"iid","name_"
"IID000000002180450","PUBLIC STORAGE"
"IID000000002150236","EVERLIGHT ELECTRONICS CO., LTD."
"IID000000002132510","PT MNC Investama Tbk"
"IID000000002128983","FUTUREN S.A."
"IID000000002133082","Cathay Pacific Airways Limited"
"IID000000002184775","STANCORP FINANCIAL GROUP, INC."
"IID000000002185204","North Mining Shares Company Limited"
"IID000000002152281","M&T BANK CORPORATION"
"IID000000002181356","RESILIENT REIT LIMITED"
"IID000000002171028","International Stem Cell Corp"
"IID000000002136449","Porvair PLC"
"IID000000002172356","KUREHA CORPORATION"
"IID000000002126806","VALQUA, LTD."
"IID000000002133487","CGI INC."
"IID000000002167060","FUJIAN HOLDINGS LIMITED"
"IID000000002159245","BARRETT BUSINESS SERVICES, INC."
"IID000000002188794","VICTREX PLC"
"IID000000002127517","Micronas Semiconductor Holding AG"
"IID000000002186295","TECH DATA CORPORATION"
"IID000000002161955","Chong Hing Bank Limited"
"IID000000002226496","Mizuho Finance (Curacao) N.V."
"IID000000002140181","HEADWATERS INCORPORATED"
"IID000000002223518","PRIVATE EXPORT FUNDING CORPORATION"
"IID000000002146195","VAR'YEGANNEFTEGAZ PAO"
"IID000000002227399","Autobahnen- und SchnellstraSsen-Finanzierungs-Aktiengesellschaft"
"IID000000002140540","Aktiebolag Fagerhult"
"IID000000002124568","CORE MOLDING TECHNOLOGIES, INC."
"IID000000002144115","Morinaga & Co., Ltd."
"IID000000002184137","SOCIETE FONCIERE LYONNAISE SA"
"IID000000002149242","Mitsui Sumitomo Insurance Company, Limited"
"IID000000002200521","ENTERGY ARKANSAS, INC."
"IID000000002136705","QCR HOLDINGS, INC."
"IID000000002135499","ULKER BISKUVI SANAYI ANONIM SIRKETI"
"IID000000002152411","WELLCARE HEALTH PLANS, INC."
"IID000000002134162","DAVIDE CAMPARI-MILANO S.P.A."
"IID000000002223308","Japan Bank for International Cooperation"
"IID000000002124910","Axis Real Estate Investment Trust"
"IID000000002175917","KGMobilians Co., Ltd."
"IID000000002187532","TSINGHUATONGFANG CO., LTD."
"IID000000002186761","THE UNITED LABORATORIES INTERNATIONAL HOLDINGS LIMITED"
"IID000000002130101","Dome Investments PCL"
"IID000000002138353","Patum Rice Mill and Granary Public Company Limited"
"IID000000002175794","Miramar Hotel and Investment Company, Limited"
"IID000000002168061","GOLDLION HOLDINGS LIMITED"
"IID000000002162589","Companhia de Saneamento Basico do Estado de Sao Paulo - SABESP"
"IID000000002133023","HIMACHAL FUTURISTIC COMMUNICATIONS LIMITED"
"IID000000002162784","CONSOLIDATED WATER CO. LTD."
"IID000000002136930","STAR BUFFET, INC."
"IID000000002184793","Standard Life Investments Property Inc Trust Ltd"
"IID000000002141235","City of London Investment Group PLC"
"IID000000002183889","MING LAM HOLDINGS LIMITED"
"IID000000002181426","PRIMORIS SERVICES CORPORATION"
"IID000000002145835","Star Paper Mills Ltd"
"IID000000002198082","PIONEER FOOD GROUP LIMITED"
"IID000000002132020","CAMPBELL SOUP COMPANY"
"IID000000002168598","Guodian Nanjing Automation Co., LTD"
"IID000000002141813","THE BANK OF SAGA LTD."
"IID000000002155981","Abu Dhabi Islamic Bank PJSC"
"IID000000002128622","EMPIRE RESORTS, INC."
"IID000000002223307","Exportation et developpement Canada"
"IID000000002162208","Clear Media Limited"
"IID000000002179572","Piccadily Sugar and Allied Industries Ltd"
"IID000000002171764","Japan Best Rescue System Co Ltd"
"IID000000002166918","FOXCONN TECHNOLOGY CO., LTD"
"IID000000002142622","Kraft Heinz Foods Company"
"IID000000002150218","NITTO KOGYO CORPORATION"
"IID000000002140683","China Traditional Chinese Medicine Holdings Co. Limited"
"IID000000002140378","Hong Kong Aircraft Engineering Company Limited"
"IID000000002124971","SEACOR HOLDINGS INC."
"IID000000002141513","WPP Aunz Ltd"
"IID000000002169676","Welling Holding Limited"
"IID000000002136180","NIPPON PARKING DEVELOPMENT Co Ltd"
"IID000000002148676","ANNALY CAPITAL MANAGEMENT, INC."
"IID000000002167755","DMG MORI AKTIENGESELLSCHAFT"
"IID000000002144648","DAE HWA PHARM CO., LTD"
"IID000000002148529","Beijing Centergate Technologies (Holding) Co., Ltd."
"IID000000002183532","RAIZNEXT Corporation"
"IID000000002173307","KB Insurance Co., Ltd"
"IID000000002134961","HOCHSCHILD MINING PLC"
"IID000000002134763","INTERFOR CORPORATION"
"IID000000002132158","QST INTERNATIONAL CORP."
"IID000000002164811","Eastern Co SAE"
"IID000000002158625","B&B Tools AB"
"IID000000002137809","ZEE ENTERTAINMENT ENTERPRISES LIMITED"
"IID000000002169944","Japan Asset Marketing Co.,Ltd."
"IID000000002155886","Aamal Co QSC"
"IID000000002180850","RTX A/S"
"IID000000002144940","JOY CITY PROPERTY LIMITED"
"IID000000002153100","STCube, Inc."
"IID000000002142685","First Hotel Co Ltd"
"IID000000002139133","Seed Co Ltd"
"IID000000002185894","TOYO Corporation"
"IID000000002161829","Ground International Development Limited"
"IID000000002187086","NEUCA SPOLKA AKCYJNA"
"IID000000002126668","HS INDUSTRIES CO.,LTD"
"IID000000002182488","SAJO INDUSTRIES CO.,LTD"
"IID000000002139748","Villars Holding SA"
"IID000000002168770","Banco GNB Peru S.A."
"IID000000002132088","BARCLAYS PLC"
"IID000000002156336","AES TIETE S.A."
"IID000000002123893","CERUS CORPORATION"
"IID000000002140913","DIC INDIA LIMITED"
"IID000000002225575","ZURICH HOLDING COMPANY OF AMERICA, INC."
